Date,Orders,"Gross Sales","Total Sales",Returns,Coupons,Taxes,Shipping,"Net Revenue"
"2021-07-30 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2021-07-29 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2021-07-28 00:00:00",1,4.99,0.60,0.00,4.49,0.00,0.10,0.50
"2021-07-27 00:00:00",1,49.94,49.94,0.00,0.00,0.00,0.00,49.94
"2021-07-26 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2021-07-25 00:00:00",1,20.97,23.97,0.00,0.00,0.00,3.00,20.97
"2021-07-24 00:00:00",3,89.87,95.87,0.00,0.00,0.00,6.00,89.87
"2021-07-23 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2021-07-22 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2021-07-21 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2021-07-20 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2021-07-19 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2021-07-18 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2021-07-17 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2021-07-16 00:00:00",1,3.99,0.40,0.00,3.59,0.00,0.00,0.40
"2021-07-15 00:00:00",1,7.99,7.99,0.00,4.00,0.00,4.00,3.99
"2021-07-14 00:00:00",1,7.99,7.99,0.00,0.00,0.00,0.00,7.99
"2021-07-13 00:00:00",2,15.98,1.60,0.00,14.38,0.00,0.00,1.60
"2021-07-12 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2021-07-11 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2021-07-10 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2021-07-09 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2021-07-08 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2021-07-07 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2021-07-06 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2021-07-05 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2021-07-04 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2021-07-03 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2021-07-02 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2021-07-01 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
